partner_id,partner_name,email,password
1,Suresh,suresh.d@driverco.com,SuR3sh!Pa$
2,Amit,amit.k@driverco.com,Am!tDr1v3r
3,Lokesh,lokesh.r@driverco.com,L0k3sh#Dpv
4,Kartik,kartik.s@driverco.com,K@rt!kP@ss
5,Gyandeep,gyandeep.m@driverco.com,Gy@nDp_Dr5
6,Rajesh,rajesh.g@driverco.com,R@j3sh!Dri
7,Vikram,vikram.p@driverco.com,V!kr@m_P@s
8,Pradeep,pradeep.v@driverco.com,Pr@d33p#Dw
9,Ravi,ravi.h@driverco.com,R@v!Dr!v3r
10,Manish,manish.l@driverco.com,M@n!sh_P@ss
11,Deepak,deepak.a@driverco.com,D33p@k!Drv
12,Anil,anil.b@driverco.com,An!l#Dr!v3
13,Sanjay,sanjay.c@driverco.com,S@nj@y_P@s
14,Rohit,rohit.e@driverco.com,R0h!t!Dr!v
15,Ashok,ashok.f@driverco.com,Ash0k#Drvr
16,Vinod,vinod.j@driverco.com,V!n0d_P@ss
17,Manoj,manoj.q@driverco.com,M@n0j!Dr!v
18,Ajay,ajay.w@driverco.com,Aj@y#Dr!ve
19,Kiran,kiran.z@driverco.com,K!r@n_P@ss
20,Naveen,naveen.x@driverco.com,N@v33n!Drv
21,Sachin,sachin.y@driverco.com,S@ch!n#Dvr
22,Ramesh,ramesh.u@driverco.com,R@m3sh_P@s
23,Dinesh,dinesh.i@driverco.com,D!n3sh!Dri
24,Pankaj,pankaj.o@driverco.com,P@nk@j#Dpv
25,Nitin,nitin.p@driverco.com,N!t!n_P@ss
26,Vishal,vishal.a1@driverco.com,V!sh@l!Dr1
27,Arjun,arjun.b2@driverco.com,Arj@n#Dr2
28,Shyam,shyam.c3@driverco.com,Shy@m_P@s3
29,Anoop,anoop.d4@driverco.com,An00p!Dr4
30,Gaurav,gaurav.e5@driverco.com,G@ur@v#Dr5
31,Rahul,rahul.f6@driverco.com,R@hul_P@s6
32,Sumit,sumit.g7@driverco.com,Sum!t!Dr7
33,Prakash,prakash.h8@driverco.com,Pr@k@sh#D8
34,Neeraj,neeraj.j9@driverco.com,N33r@j_P@s9
35,Vikas,vikas.k10@driverco.com,V!k@s!Dr10
36,Mohan,mohan.l11@driverco.com,M0h@n#Dr11
37,Suraj,suraj.m12@driverco.com,Sur@j_P@s12
38,Kamal,kamal.n13@driverco.com,K@m@l!Dr13
39,Bharat,bharat.o14@driverco.com,Bh@r@t#Dr14
40,Alok,alok.p15@driverco.com,Al0k_P@s15
41,Hitesh,hitesh.q16@driverco.com,H!t3sh!Dr16
42,Jitendra,jitendra.r17@driverco.com,J!t3ndr@#17
43,Mahesh,mahesh.s18@driverco.com,M@h3sh_P@18
44,Piyush,piyush.t19@driverco.com,P!yush!Dr19
45,Sandeep,sandeep.u20@driverco.com,S@nd33p#20
46,Vivek,vivek.v21@driverco.com,V!v3k_P@s21
47,Mukesh,mukesh.w22@driverco.com,Mukh3sh!22
48,Santosh,santosh.x23@driverco.com,S@nt0sh#23
49,Rajeev,rajeev.y24@driverco.com,R@j33v_P@24
50,Sunil,sunil.z25@driverco.com,Sun!l!Dr25
