user_id,name,email,password
1,Nitish,nitish.k12@gmail.com,N!tishPa$$12
2,Khushboo,khushboo.s78@hotmail.com,Khushb00@178
3,Vartika,vartika.g33@yahoo.com,Vartika#7J33
4,Ankit,ankit.p01@gmail.com,Ank!tP@ss01
5,Neha,neha.r45@outlook.com,Neha_Pa$$545
6,Anupama,anupama.m22@gmail.com,Anup@ma!4X22
7,Rishabh,rishabh.v99@hotmail.com,Rishabh$2Y99
8,Priya,priya.a10@yahoo.com,Priya#Pa$$10
9,Rahul,rahul.d55@gmail.com,Rahul@SecuR55
10,Sneha,sneha.j81@outlook.com,SnehaP@sSW081
11,Vikram,vikram.s07@gmail.com,Vikr@m_123A07
12,Pooja,pooja.k62@hotmail.com,Pooja#P@ss62
13,Arjun,arjun.t11@yahoo.com,Arjun_Pa$$!11
14,Kavya,kavya.l88@gmail.com,Kavya@P@ss288
15,Rohit,rohit.g29@outlook.com,Rohit#P@ss729
16,Meera,meera.h44@gmail.com,Meera_Pa$$*44
17,Sanjay,sanjay.f77@hotmail.com,Sanjay@P!5577
18,Divya,divya.n03@yahoo.com,Divya_P@ss603
19,Amit,amit.x60@gmail.com,Am!t#P@ss0060
20,Shreya,shreya.z19@outlook.com,Shreya@Pa$$19
21,Karan,karan.b21@gmail.com,Karan_P@ss!21
22,Ritu,ritu.q30@hotmail.com,Ritu#P@ssWd30
23,Rajesh,rajesh.w05@yahoo.com,Rajesh@P@s05
24,Sonal,sonal.e91@gmail.com,Sonal_Pa$$$91
25,Manish,manish.i14@outlook.com,Manish@P!7814
26,Deepika,deepika.o25@gmail.com,Deepika#Pa25
27,Suresh,suresh.u36@hotmail.com,Suresh@P@sS36
28,Nisha,nisha.y47@yahoo.com,Nisha_P@$$947
29,Arun,arun.r58@gmail.com,Arun!Pa$$Wd58
30,Shweta,shweta.t69@outlook.com,Shweta@P@s69
31,Siddharth,siddharth.m70@gmail.com,Siddh@rth!70
32,Mihir,mihir.v83@hotmail.com,Mihir#Pa$$w83
33,Bhargav,bhargav.x94@yahoo.com,Bhargav_P794
34,Esha,esha.c06@gmail.com,Esha@P@sswd06
35,Suraj,suraj.b17@outlook.com,Suraj#P@ss317
36,Darshana,darshana.p28@gmail.com,Darshana!$28
37,Jatin,jatin.l39@hotmail.com,Jat!n_P@ss239
38,Jagan,jagan.k50@yahoo.com,Jag@n#P@ss50
39,Sameer,sameer.h61@gmail.com,Sameer@Pa$$61
40,Chitra,chitra.j72@outlook.com,Chitra_P@s572
41,Shalini,shalini.d84@gmail.com,Shalini#P@84
42,Lavanya,lavanya.f95@hotmail.com,Lavanya!$!95
43,Lakshman,lakshman.z08@yahoo.com,Lakshm@n#08
44,Madhuri,madhuri.y19@gmail.com,Madhuri_P@19
45,Divya,divya.x30@outlook.com,Divya!@Pa$$30
46,Nitya,nitya.w41@gmail.com,Nitya#P@ss141
47,Raghav,raghav.v52@hotmail.com,R@ghav_P@s52
48,Juhi,juhi.u63@yahoo.com,Juhi!P@sswd63
49,Rohan,rohan.t74@gmail.com,Roh@n#P@ss74
50,Reema,reema.s85@outlook.com,Reema_P@ss$85
51,Anamika,anamika22@gamil.com,anu@rst32!nejo
